,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,param_model__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,fold,model
37,10,118.22783784866331,5.646328051369659,22.95603756904602,0.859935580089945,10,1.0,poly,"{'model__C': 10, 'model__gamma': 1, 'model__kernel': 'poly'}",0.810629344020555,0.8144022859489903,0.8097582928161007,0.8231503540408054,0.8170208725767593,0.8149922298806421,0.0048465923093937,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
38,11,1553.0917295455934,22.70589351623705,70.36632332801818,0.2104987067646714,10,1.0,sigmoid,"{'model__C': 10, 'model__gamma': 1, 'model__kernel': 'sigmoid'}",0.0026839450298374,6.864700565575052e-05,0.0016809727075849,0.0011473761272185,0.0009486077037926,0.0013059097148178,0.000862933394295,24,0.002433614375341,6.838853300615673e-05,0.0002908826673812,0.0013092864558894,0.0012024908889263,0.0010609325841088,0.0008419138040088,2,svc
39,12,260.9007566928864,5.048556681080426,37.07772188186645,1.3182191461185893,10,0.1,rbf,"{'model__C': 10, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.7668471600765466,0.774014300049493,0.7522260187102594,0.7750570235368803,0.772853240484192,0.7681995485714743,0.0084791008596327,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
40,13,117.52461133003234,3.407246309913732,22.787061357498168,0.5930822160225468,10,0.1,poly,"{'model__C': 10, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8129915302481611,0.8094553993763804,0.8107125178112736,0.820920574058148,0.8161785332888423,0.814051710956561,0.0041256497107615,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
41,14,888.5016538143158,50.04049163500624,70.01073932647705,0.3585317894506075,10,0.1,sigmoid,"{'model__C': 10, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",1.3726647540871091e-05,0.0010673454284263,0.0032502967901378,9.773756721216765e-05,0.0001669733895235,0.0009192159645681,0.0012260902663086,25,0.0001329534503063,0.0003808812647358,0.0034180609834823,0.0002269089786645,0.0005771569222214,0.0009471923198821,0.0012445577035901,2,svc
42,15,88.68871679306031,4.312953269432252,27.919573402404787,1.3128647020842137,10,0.01,rbf,"{'model__C': 10, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.8263452916361295,0.8238092594147558,0.8310577340099321,0.8392684240419859,0.8270292163809827,0.8295019850967572,0.0054090684737452,1,0.9768162809345726,0.9758717945153418,0.9761063211921782,0.9736208589296572,0.9759940601218752,0.9756818631387252,0.0010815126082098,2,svc
43,16,193.2541495323181,7.887088458827713,38.143108701705934,0.6339802085407943,10,0.01,poly,"{'model__C': 10, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.7723345287917958,0.8044615166248782,0.7713465527844984,0.8073682697580872,0.7825677807618197,0.7876157297442159,0.0154766041692097,11,0.9051398778123672,0.9035924017424432,0.9052477241972204,0.9034813030160888,0.9063434330797628,0.9047609479695764,0.0010851534027456,2,svc
44,17,101.70374393463136,2.1249574614640667,22.622228956222536,0.1740360543081408,10,0.01,sigmoid,"{'model__C': 10, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.7412345849289003,0.746763182271578,0.708279179412184,0.7278418212427478,0.7118839960148082,0.7272005527740436,0.0153145488832552,16,0.8261625711286023,0.7974257918539082,0.7973040473383504,0.7901572818768863,0.7911005152096612,0.8004300414814816,0.0132176403915222,2,svc
45,18,1351.6959977149963,28.02476069858264,54.81237931251526,5.275489175068015,100,1.0,rbf,"{'model__C': 100, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.1494105745964495,0.150665192433598,0.15172955999729,0.1518740169774319,0.1516383271735166,0.1510635342356572,0.0009297108444461,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
46,19,119.3747538089752,2.517240906618318,23.42894778251648,0.2709289356208363,100,1.0,poly,"{'model__C': 100, 'model__gamma': 1, 'model__kernel': 'poly'}",0.8143936984069208,0.8159551361035554,0.8083942070137105,0.8199921713584243,0.8108726359621721,0.8139215697689565,0.0040263690226377,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
47,20,1548.711731863022,17.540949915550712,69.29365558624268,1.781303630303109,100,1.0,sigmoid,"{'model__C': 100, 'model__gamma': 1, 'model__kernel': 'sigmoid'}",0.0007567488057728,6.902780094683132e-05,7.095710790654358e-05,0.0011460257822749,0.0010907242282002,0.0006266967450202,0.00047366209222,26,0.0013164840609673,6.861126905252529e-05,0.0002722207780527,0.0013496348724187,0.0010955232009537,0.000820494836289,0.0005417690341497,2,svc
48,21,260.4714898109436,4.97230832074304,36.86330380439758,1.0734846276160623,100,0.1,rbf,"{'model__C': 100, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.763122765128637,0.7722771563566416,0.752569338654971,0.7789263209081592,0.7761667339124136,0.7686124629921645,0.0096373364871727,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
49,22,118.8070601940155,3.0196070403518767,23.21817798614502,0.5184350206702495,100,0.1,poly,"{'model__C': 100, 'model__gamma': 0.1, 'model__kernel': 'poly'}",0.8110790635747871,0.8098734381748302,0.8103531861638471,0.8197324032577018,0.8146941323918379,0.8131464447126009,0.0037029479336256,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2,svc
50,23,851.6070491313934,19.09469602021152,69.81495990753174,0.1618280266838286,100,0.1,sigmoid,"{'model__C': 100, 'model__gamma': 0.1, 'model__kernel': 'sigmoid'}",0.0005980875693145,0.0018058012274425,0.0054121267225773,0.0018401416477592,0.0005507719359462,0.0020413858206079,0.0017755524853512,22,0.0005217175607516,0.0011163881245863,0.0051584123304401,0.0020834625252795,0.0003592489045663,0.0018478458891248,0.0017620972248233,2,svc
51,24,80.47707419395446,3.13617606121184,22.77120351791382,1.03370394973804,100,0.01,rbf,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'rbf'}",0.822047367189376,0.8148309763382207,0.8268683773937809,0.8268035653905346,0.8312950122651612,0.8243690597154147,0.0055947746363315,2,1.0,1.0,1.0,0.99988114142598,1.0,0.999976228285196,4.754342960802127e-05,2,svc
52,25,126.10740356445312,3.607270910876269,25.79952940940857,0.3659395932137393,100,0.01,poly,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'poly'}",0.8177491529035644,0.8159532310478261,0.8071038905040461,0.8235570358288568,0.8210139678032093,0.8170754556175005,0.0056332606384422,3,0.9934679808355132,0.9939425043345173,0.9919276241641198,0.9929969540819372,0.9934694592600456,0.9931609045352264,0.0006853116580867,2,svc
53,26,64.70405879020691,5.48089249457746,11.97490735054016,3.4717931207151134,100,0.01,sigmoid,"{'model__C': 100, 'model__gamma': 0.01, 'model__kernel': 'sigmoid'}",0.7057697520069796,0.6943321037499255,0.724763696825742,0.6881545438185143,0.7271703610066246,0.7080380914815572,0.0157107895578122,17,0.8260404332029302,0.7895402401392243,0.8476638320215127,0.7873885296442202,0.8390074309717437,0.8179280931959262,0.0250315714570912,2,svc
54,0,1446.9155581474304,16.245737027235034,56.76019196510315,4.559913297263673,1,1.0,rbf,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'rbf'}",0.1505504158269458,0.1495530798044032,0.1476431510814075,0.1486984510858873,0.1467830851342877,0.1486456365865863,0.0013363009855534,21,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,svc
55,1,116.09428386688232,1.205751222531011,22.64962706565857,0.1821320539354012,1,1.0,poly,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'poly'}",0.8188544255052165,0.8139344594641719,0.8155721240269482,0.8082154461960952,0.8138307081297964,0.8140814326644457,0.0034495762799808,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3,svc
56,2,1534.5422548770905,22.45690410843124,70.01591138839721,0.9588811512521428,1,1.0,sigmoid,"{'model__C': 1, 'model__gamma': 1, 'model__kernel': 'sigmoid'}",0.0008600420022639,0.0009321009292922,6.67066906810753e-05,0.000992629576795,7.354845234136901e-05,0.0005850055302747,0.0004224925253628,26,0.0002612929625837,0.0024157295841157,0.0005148046659043,0.0016270672354475,8.001103348051378e-05,0.0009797810963063,0.0008969885005565,3,svc
57,3,239.39213037490845,0.935681881194846,40.87071423530578,1.1378327035685158,1,0.1,rbf,"{'model__C': 1, 'model__gamma': 0.1, 'model__kernel': 'rbf'}",0.746794785814835,0.750978944060293,0.7579018066659894,0.753818075162551,0.7522907409047186,0.7523568705216773,0.0036255006990019,14,0.994298102984944,0.9931095601885432,0.992276470164006,0.9926360173638186,0.9932283002628358,0.9931096901928296,0.0006848379217661,3,svc
